run_id,model_name,actual_class,predicted_class,count,date_trained
run_03_seed13,Support Vector Machine,ham (0),ham (0),690,2026-05-13 01:12:25
run_03_seed13,Support Vector Machine,ham (0),spam (1),16,2026-05-13 01:12:25
run_03_seed13,Support Vector Machine,spam (1),ham (0),3,2026-05-13 01:12:25
run_03_seed13,Support Vector Machine,spam (1),spam (1),290,2026-05-13 01:12:25
run_03_seed13,Random Forest,ham (0),ham (0),687,2026-05-13 01:12:31
run_03_seed13,Random Forest,ham (0),spam (1),19,2026-05-13 01:12:31
run_03_seed13,Random Forest,spam (1),ham (0),17,2026-05-13 01:12:31
run_03_seed13,Random Forest,spam (1),spam (1),276,2026-05-13 01:12:31
run_04_seed99,Logistic Regression,ham (0),ham (0),670,2026-05-13 01:12:32
run_04_seed99,Logistic Regression,ham (0),spam (1),36,2026-05-13 01:12:32
run_04_seed99,Logistic Regression,spam (1),ham (0),1,2026-05-13 01:12:32
run_04_seed99,Logistic Regression,spam (1),spam (1),292,2026-05-13 01:12:32
run_04_seed99,Naive Bayes,ham (0),ham (0),705,2026-05-13 01:12:33
run_04_seed99,Naive Bayes,ham (0),spam (1),1,2026-05-13 01:12:33
run_04_seed99,Naive Bayes,spam (1),ham (0),97,2026-05-13 01:12:33
run_04_seed99,Naive Bayes,spam (1),spam (1),196,2026-05-13 01:12:33
run_04_seed99,Support Vector Machine,ham (0),ham (0),698,2026-05-13 01:12:33
run_04_seed99,Support Vector Machine,ham (0),spam (1),8,2026-05-13 01:12:33
run_04_seed99,Support Vector Machine,spam (1),ham (0),4,2026-05-13 01:12:33
run_04_seed99,Support Vector Machine,spam (1),spam (1),289,2026-05-13 01:12:33
run_04_seed99,Random Forest,ham (0),ham (0),692,2026-05-13 01:12:39
run_04_seed99,Random Forest,ham (0),spam (1),14,2026-05-13 01:12:39
run_04_seed99,Random Forest,spam (1),ham (0),11,2026-05-13 01:12:39
run_04_seed99,Random Forest,spam (1),spam (1),282,2026-05-13 01:12:39
run_05_seed2024,Logistic Regression,ham (0),ham (0),676,2026-05-13 01:12:40
run_05_seed2024,Logistic Regression,ham (0),spam (1),30,2026-05-13 01:12:40
run_05_seed2024,Logistic Regression,spam (1),ham (0),0,2026-05-13 01:12:40
run_05_seed2024,Logistic Regression,spam (1),spam (1),293,2026-05-13 01:12:40
run_05_seed2024,Naive Bayes,ham (0),ham (0),706,2026-05-13 01:12:41
run_05_seed2024,Naive Bayes,ham (0),spam (1),0,2026-05-13 01:12:41
run_05_seed2024,Naive Bayes,spam (1),ham (0),101,2026-05-13 01:12:41
run_05_seed2024,Naive Bayes,spam (1),spam (1),192,2026-05-13 01:12:41
run_05_seed2024,Support Vector Machine,ham (0),ham (0),696,2026-05-13 01:12:42
run_05_seed2024,Support Vector Machine,ham (0),spam (1),10,2026-05-13 01:12:42
run_05_seed2024,Support Vector Machine,spam (1),ham (0),3,2026-05-13 01:12:42
run_05_seed2024,Support Vector Machine,spam (1),spam (1),290,2026-05-13 01:12:42
run_05_seed2024,Random Forest,ham (0),ham (0),694,2026-05-13 01:12:48
run_05_seed2024,Random Forest,ham (0),spam (1),12,2026-05-13 01:12:48
run_05_seed2024,Random Forest,spam (1),ham (0),20,2026-05-13 01:12:48
run_05_seed2024,Random Forest,spam (1),spam (1),273,2026-05-13 01:12:48
